Date,High,Low,Open,Close,Volume,Adj Close
2020-10-30,22.90999984741211,22.1299991607666,22.6200008392334,22.68000030517578,4075800.0,22.68000030517578
2020-11-02,24.520000457763672,22.6200008392334,22.639999389648438,24.459999084472656,6018200.0,24.459999084472656
2020-11-03,25.65999984741211,24.690000534057617,25.579999923706055,25.18000030517578,4875100.0,25.18000030517578
2020-11-04,26.719999313354492,25.079999923706055,25.799999237060547,26.40999984741211,5704200.0,26.40999984741211
2020-11-05,26.809999465942383,25.719999313354492,26.329999923706055,25.8700008392334,4709200.0,25.8700008392334
2020-11-06,25.3799991607666,24.170000076293945,25.31999969482422,24.649999618530273,5204800.0,24.649999618530273
2020-11-09,28.56999969482422,27.260000228881836,28.170000076293945,27.31999969482422,11168700.0,27.31999969482422
2020-11-10,28.770000457763672,27.8700008392334,28.290000915527344,28.639999389648438,8022200.0,28.639999389648438
2020-11-11,30.18000030517578,28.729999542236328,30.079999923706055,28.969999313354492,4868600.0,28.969999313354492
2020-11-12,29.639999389648438,28.18000030517578,29.239999771118164,28.239999771118164,4847600.0,28.239999771118164
2020-11-13,28.06999969482422,27.110000610351562,27.979999542236328,27.270000457763672,3497000.0,27.270000457763672
2020-11-16,29.059999465942383,28.1299991607666,28.979999542236328,28.389999389648438,4162700.0,28.389999389648438
2020-11-17,28.780000686645508,27.790000915527344,27.979999542236328,28.559999465942383,3660500.0,28.559999465942383
2020-11-18,29.43000030517578,28.68000030517578,28.90999984741211,28.760000228881836,4507400.0,28.760000228881836
2020-11-19,28.989999771118164,28.280000686645508,28.65999984741211,28.850000381469727,2912300.0,28.850000381469727
2020-11-20,29.329999923706055,28.600000381469727,28.6200008392334,29.170000076293945,3828900.0,29.170000076293945
2020-11-23,30.020000457763672,29.469999313354492,29.799999237060547,29.510000228881836,3641900.0,29.510000228881836
2020-11-24,32.400001525878906,30.8700008392334,30.899999618530273,31.950000762939453,5319500.0,31.950000762939453
2020-11-25,33.560001373291016,32.380001068115234,32.97999954223633,33.040000915527344,4528800.0,33.040000915527344
2020-11-27,33.04999923706055,32.40999984741211,32.63999938964844,32.779998779296875,1831600.0,32.779998779296875
2020-11-30,32.81999969482422,31.6200008392334,32.540000915527344,32.20000076293945,4067000.0,32.20000076293945
2020-12-01,32.20000076293945,30.989999771118164,32.119998931884766,31.479999542236328,2610200.0,31.479999542236328
2020-12-02,33.0,31.469999313354492,31.489999771118164,32.130001068115234,3729000.0,32.130001068115234
2020-12-03,32.77000045776367,31.729999542236328,31.899999618530273,32.47999954223633,3683700.0,32.47999954223633
2020-12-04,33.560001373291016,32.65999984741211,32.689998626708984,33.189998626708984,3061800.0,33.189998626708984
2020-12-07,33.900001525878906,32.84000015258789,33.08000183105469,32.9900016784668,2975300.0,32.9900016784668
2020-12-08,33.18000030517578,32.349998474121094,32.70000076293945,33.029998779296875,2317000.0,33.029998779296875
2020-12-09,33.599998474121094,32.119998931884766,33.43000030517578,32.88999938964844,3595700.0,32.88999938964844
2020-12-10,35.5,33.90999984741211,33.959999084472656,34.40999984741211,4173500.0,34.40999984741211
2020-12-11,34.459999084472656,33.709999084472656,34.29999923706055,34.040000915527344,1959300.0,34.040000915527344
2020-12-14,34.689998626708984,32.95000076293945,34.529998779296875,34.54999923706055,3630100.0,34.54999923706055
2020-12-15,35.47999954223633,34.709999084472656,34.869998931884766,35.31999969482422,2621600.0,35.31999969482422
2020-12-16,35.91999816894531,34.90999984741211,35.369998931884766,35.79999923706055,3036700.0,35.79999923706055
2020-12-17,36.79999923706055,36.20000076293945,36.38999938964844,36.68000030517578,2282700.0,36.68000030517578
2020-12-18,37.7599983215332,36.90999984741211,37.06999969482422,37.400001525878906,2801000.0,37.400001525878906
2020-12-21,36.0099983215332,34.41999816894531,34.560001373291016,35.540000915527344,5616500.0,35.540000915527344
2020-12-22,35.220001220703125,34.2599983215332,34.84000015258789,34.41999816894531,3201500.0,34.41999816894531
2020-12-23,36.45000076293945,34.91999816894531,34.939998626708984,35.81999969482422,3045600.0,35.81999969482422
2020-12-24,36.150001525878906,35.400001525878906,35.560001373291016,36.130001068115234,1024800.0,36.130001068115234
2020-12-28,36.459999084472656,35.33000183105469,36.11000061035156,35.5099983215332,2757900.0,35.5099983215332
2020-12-29,36.31999969482422,35.63999938964844,36.25,35.88999938964844,1615300.0,35.88999938964844
2020-12-30,36.77000045776367,35.41999816894531,35.4900016784668,36.060001373291016,2343000.0,36.060001373291016
2020-12-31,36.439998626708984,35.470001220703125,35.70000076293945,36.27000045776367,1698400.0,36.27000045776367
2021-01-04,36.939998626708984,34.720001220703125,36.34000015258789,35.0,4758700.0,35.0
2021-01-05,38.59000015258789,37.119998931884766,37.119998931884766,38.11000061035156,5710700.0,38.11000061035156
2021-01-06,39.119998931884766,37.22999954223633,38.08000183105469,38.310001373291016,3537900.0,38.310001373291016
2021-01-07,39.36000061035156,38.77000045776367,38.95000076293945,39.279998779296875,2614300.0,39.279998779296875
2021-01-08,41.34000015258789,39.7400016784668,40.130001068115234,41.189998626708984,2323300.0,41.189998626708984
2021-01-11,41.18000030517578,39.81999969482422,39.959999084472656,40.880001068115234,1849000.0,40.880001068115234
2021-01-12,42.59000015258789,41.619998931884766,41.81999969482422,42.34000015258789,1999900.0,42.34000015258789
2021-01-13,42.79999923706055,41.689998626708984,42.04999923706055,42.18000030517578,1655700.0,42.18000030517578
2021-01-14,43.29999923706055,41.7599983215332,41.9900016784668,43.16999816894531,1663600.0,43.16999816894531
2021-01-15,42.18000030517578,40.56999969482422,41.95000076293945,41.150001525878906,2572900.0,41.150001525878906
2021-01-19,42.279998779296875,41.459999084472656,41.91999816894531,41.970001220703125,1714300.0,41.970001220703125
2021-01-20,42.959999084472656,41.77000045776367,42.88999938964844,41.959999084472656,1556100.0,41.959999084472656
2021-01-21,42.52000045776367,41.70000076293945,42.16999816894531,42.0099983215332,1075300.0,42.0099983215332
2021-01-22,41.619998931884766,40.0,40.09000015258789,40.7599983215332,2113700.0,40.7599983215332
2021-01-25,41.70000076293945,40.2599983215332,40.43000030517578,41.54999923706055,1568300.0,41.54999923706055
2021-01-26,42.029998779296875,41.08000183105469,41.79999923706055,41.20000076293945,1102700.0,41.20000076293945
2021-01-27,42.279998779296875,40.2400016784668,41.16999816894531,41.29999923706055,1833200.0,41.29999923706055
2021-01-28,42.45000076293945,40.689998626708984,42.27000045776367,40.72999954223633,1775500.0,40.72999954223633
2021-01-29,41.900001525878906,40.43000030517578,41.650001525878906,40.59000015258789,1825500.0,40.59000015258789
2021-02-01,42.849998474121094,40.7599983215332,41.90999984741211,42.68000030517578,2317800.0,42.68000030517578
2021-02-02,44.810001373291016,44.06999969482422,44.79999923706055,44.310001373291016,1829700.0,44.310001373291016
2021-02-03,46.5,45.150001525878906,45.16999816894531,45.77000045776367,2713600.0,45.77000045776367
2021-02-04,46.939998626708984,45.209999084472656,46.20000076293945,46.61000061035156,1978800.0,46.61000061035156
2021-02-05,48.0099983215332,46.959999084472656,47.869998931884766,47.529998779296875,1997900.0,47.529998779296875
2021-02-08,49.439998626708984,48.209999084472656,48.209999084472656,49.349998474121094,1769200.0,49.349998474121094
